--- Sandbox Network Analysis: 16-03-2026_16-13-01 ---

[16:13:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:05] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:05] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:05] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:05] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:05] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:05] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:05] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:07] 192.168.56.101 -> 224.0.0.251 | UNAUTHORIZED
[16:13:15] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:15] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:17] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:27] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:13:27] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:13:29] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
