--- Network Traffic Log ---
[SYN] 192.168.1.132 -> 8.8.8.8 | Status: ALLOWED (Whitelist)
[SYN] 192.168.1.132 -> 52.27.39.229 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 52.27.39.229 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 140.82.112.21 | Status: UNAUTHORIZED (Not in lists)
[SYN] 140.82.112.21 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 8.8.8.8 | Status: ALLOWED (Whitelist)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 8.8.8.8 | Status: ALLOWED (Whitelist)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 140.82.114.22 | Status: UNAUTHORIZED (Not in lists)
[SYN] 140.82.114.22 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 8.8.8.8 | Status: ALLOWED (Whitelist)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
[SYN] 192.168.1.132 -> 34.36.95.252 | Status: UNAUTHORIZED (Not in lists)
[SYN] 34.36.95.252 -> 192.168.1.132 | Status: UNAUTHORIZED (Not in lists)
