--- Sandbox Network Analysis: 26-02-2026_14-49-32 ---

[14:49:34] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:49:35] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:49:38] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:40] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:40] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:49:40] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:40] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:40] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:49:40] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:49:41] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:49:42] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:49:43] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:49:56] 8.8.8.8 -> 172.17.0.2 | UNAUTHORIZED
[14:50:01] 44.236.186.200 -> 172.17.0.2 | UNAUTHORIZED
